Link,Username,Description,Likes,Comments,Location
https://www.instagram.com/p/Crfmt5CIQnA/,_le_r_a_s,"🌇🖤🤡
.
.
.
#українапонадусе #улыбайся #україна #лера #сонце🌇 #мирноград #любимыймирноград #славаукраїні #комната #ukrainegirl #ukraine #myrnohradgirl #myrnohrad🇺🇦 #girl #slavaukraini #рек #рекомендации #впустиврек #подвал #чердак",4,0,None
https://www.instagram.com/p/Crfkm4PoFSI/,redland.dogsanctuary,"Where is the Magazines lol. Love you my friend. Thank you for everything Jo ❤ Super nice ladies. We really appreciated the blankets❤❤❤

#catsofinstagram #Catslover #cats #catstagram #catsofworld #animalrescue #donate #Ukraine #UkraineWar #America #cat #kitty #kittens
#standwithukraine #slavaukraini",16,1,None
https://www.instagram.com/p/CrfjqHTNNnv/,seeacabo,,6,1,Florencja
https://www.instagram.com/p/Cre2JJHMYPw/,historiaenoticias,"Camiseta à venda no AliExpress:
“Nós mandamos os nossos mais bravos, liderados pelos desqualificados, para fazer o impossível e morrer pelo ingrato.” Bandeira da Rússia na manga.",9,1,None
https://www.instagram.com/p/CrduzjyM7R1/,lidy.nova,"🌊🎀

#liketime #folow4folow #folowme #spring #like #life #nails #aesthetic #liketime #folow4folow #folowme #spring #like #life #liketimeukraine #ukraine #slavaukraini",31,0,Odessa
https://www.instagram.com/p/CrfhCgStYAr/,drahmedazatari,"في ذكرى كل من عانوا وضحوا
#كارثة_تشيرنوبل هي حادثة نووية إشعاعية كارثية وقعت في المفاعل رقم 4 من محطة تشيرنوبل للطاقة النووية. في يوم السبت 26 أبريل من عام 1986، قرب مدينة بريبيات في شمال #أوكرانيا ، وتعد أكبر كارثة نووية شهدها العالم.
В память о всех, кто пострадал и пожертвовал
#чернобыльская_авария, разрушение 26 апреля 1986 года реактора четвёртого энергоблока Чернобыльской атомной электростанции, расположенной близ города Припять в #Украине
#Chernobyl_disaster#nuclear_accident#chernobyl#ukraine#Чорнобильська_катастрофа#slavaukraini",2,0,"Hebron, West Bank"
https://www.instagram.com/p/CrfhKmSNEfR/,haninhamza37,Good Morning my friends.#standwithukraine #slavaukraini #photooftheday #photo #photography #photographer #longliveamerica🇺🇸 #london🇬🇧 #instagood #california #instamood #instapic #instalike #instalove #instaphoto #goodmorning #goodvibes #streetphotography #life #lifestyle #thursday #like #likesforlike #losangeles #boston #followers #me #myself #mood #follow,2,0,Rabat
https://www.instagram.com/p/CrffykOu5Nt/,flowithrobin,#supportukraine#slavaukraini#unityconsciousness#awakening#gaia#sourceenergy#multiuniverse#energyhealing#chakravinyasa#ascension#beachflowyoga#flowithrobin#yogabermuda,6,1,None
https://www.instagram.com/p/CrffXqMNDPN/,bracelets_cph,"Bracelet of the day, Ukraine colors ❤️
Amethyst, 6mm
Yellow agate, 8 mm.

#armbånd
#bracelet
#healingcrystals
#masculinejewelry
#everydayjewelry
#bling
#jewelryaddict
#fashionjewelry
#instajewelry
#jewelrygram
#gems
#jewelrydesign
#gemstone
#hjemmelavedesmykker
#jewel
#smykke
#smykkesten
#halvædelsten
#armband
#armbänder
#diyjewellery
#diyjewelrymaking
#hygge
#scandinaviandesign
#gay
#ootd
#fitbitalta
#fitbit
#ukraine 
#slavaukraini",4,2,None
https://www.instagram.com/p/CrffH_ENtNr/,on.this.day.today,"On 26th of April 
1986 World's worst nuclear disaster: 4th reactor at Chernobyl nuclear power station in USSR explodes, 31 die, radioactive contamination reaches much of Western Europe. #illustration #chernobyl #ukraine #slavaukraini #nuclearblast",6,0,Chernobyl
